Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9,,12/11/2015,33-299,MIA,,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9,17/11/2015,33-304,MIA,,MIN,1,31:54:00,5,13,0.385,0,1,0,0,0,,1,1,2,6,1,0,5,1,10,3.7,-2
11,10,19/11/2015,33-306,MIA,,SAC,1,31:17:00,10,23,0.435,0,2,0,4,6,0.667,1,4,5,6,2,0,0,1,24,18.8,-1
12,11,21/11/2015,33-308,MIA,,PHI,1,36:01:00,8,17,0.471,0,1,0,11,13,0.846,2,5,7,4,3,1,1,3,27,24.7,20
13,12,23/11/2015,33-310,MIA,,NYK,1,29:48:00,6,16,0.375,0,1,0,4,4,1,2,2,4,5,0,0,2,3,16,9.5,3
14,13,25/11/2015,33-312,MIA,@,DET,1,23:26,1,9,0.111,0,0,,0,1,0,0,2,2,2,1,2,2,0,2,-1.9,-26
15,14,27/11/2015,33-314,MIA,@,NYK,1,28:56:00,7,17,0.412,0,0,,3,3,1,2,3,5,3,0,0,3,0,17,9.3,12
16,15,30/11/2015,33-317,MIA,,BOS,1,31:32:00,12,24,0.5,0,1,0,6,6,1,3,1,4,4,5,0,6,3,30,21,-7
17,16,03/12/2015,33-320,MIA,,OKC,1,33:08:00,11,21,0.524,0,0,,6,9,0.667,0,4,4,4,1,0,2,1,28,19.1,-3
18,17,05/12/2015,33-322,MIA,,CLE,1,28:53:00,8,14,0.571,0,0,,3,5,0.6,1,4,5,4,1,0,1,2,19,15.5,6
19,18,07/12/2015,33-324,MIA,,WAS,1,31:36:00,12,15,0.8,0,0,,2,2,1,0,7,7,9,1,0,5,3,26,23.5,-1
20,19,09/12/2015,33-326,MIA,@,CHO,1,24:46:00,5,11,0.455,0,0,,1,2,0.5,1,1,2,4,0,1,1,0,11,8.4,-17
21,20,11/12/2015,33-328,MIA,@,IND,1,34:06:00,10,23,0.435,0,0,,0,0,,0,5,5,5,0,0,2,0,20,10.9,-12
22,21,13/12/2015,33-330,MIA,,MEM,1,30:13:00,7,16,0.438,0,0,,0,0,,1,3,4,2,0,0,2,3,14,5.4,-7
23,22,14/12/2015,33-331,MIA,@,ATL,1,29:03:00,3,16,0.188,0,1,0,1,1,1,2,4,6,6,0,0,1,0,7,2.8,6
24,23,16/12/2015,33-333,MIA,@,BRK,1,30:09:00,13,17,0.765,1,1,1,1,2,0.5,1,4,5,2,0,3,3,0,28,23.3,-1
25,24,18/12/2015,33-335,MIA,,TOR,1,31:28:00,8,16,0.5,0,2,0,5,5,1,2,4,6,5,0,0,8,0,21,11.1,-6
26,25,20/12/2015,33-337,MIA,,POR,1,27:22:00,6,11,0.545,0,0,,6,9,0.667,1,1,2,7,2,0,2,3,18,16.2,0
27,26,22/12/2015,33-339,MIA,,DET,1,28:53:00,8,21,0.381,0,0,,3,4,0.75,2,3,5,1,1,0,0,0,19,11.1,-3
28,27,25/12/2015,33-342,MIA,,NOP,1,36:48:00,7,20,0.35,0,2,0,5,9,0.556,1,5,6,4,1,0,3,2,19,8.4,-3
29,28,26/12/2015,33-343,MIA,@,ORL,1,29:53:00,7,12,0.583,0,0,,10,10,1,1,1,2,6,2,1,1,1,24,24.9,7
