Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,34,13/01/2016,25-182,POR,,UTA,1,28:56:00,8,14,0.571,4,7,0.571,1,1,1,1,6,7,10,2,1,4,2,21,21.8,11
42,35,15/01/2016,25-184,POR,@,BRK,1,37:24:00,13,24,0.542,5,10,0.5,2,3,0.667,1,2,3,10,1,0,0,0,33,30.3,10
43,36,16/01/2016,25-185,POR,@,PHI,1,30:26:00,4,18,0.222,1,6,0.167,5,6,0.833,0,2,2,2,0,0,2,1,14,2.2,-21
44,37,18/01/2016,25-187,POR,@,WAS,1,34:05:00,7,16,0.438,2,6,0.333,0,1,0,1,1,2,6,0,0,2,1,16,10,13
45,38,20/01/2016,25-189,POR,,ATL,1,36:46:00,8,22,0.364,1,6,0.167,1,1,1,0,5,5,6,0,0,0,4,18,9.9,-13
46,39,23/01/2016,25-192,POR,,LAL,1,29:29:00,14,19,0.737,5,8,0.625,3,4,0.75,0,1,1,5,0,0,0,0,36,31.7,27
47,40,26/01/2016,25-195,POR,,SAC,1,32:54:00,5,16,0.313,1,6,0.167,4,4,1,2,3,5,13,0,1,4,2,15,13.1,11
48,41,29/01/2016,25-198,POR,,CHO,1,36:37:00,9,19,0.474,2,5,0.4,2,5,0.4,0,5,5,6,3,0,3,1,22,16.4,13
49,42,31/01/2016,25-200,POR,,MIN,1,32:22:00,5,14,0.357,1,7,0.143,10,12,0.833,1,3,4,8,1,0,2,4,21,17,-2
50,43,02/02/2016,25-202,POR,,MIL,1,34:22:00,6,15,0.4,0,6,0,2,2,1,1,4,5,12,0,0,3,0,14,13.2,12
51,44,04/02/2016,25-204,POR,,TOR,1,36:00:00,8,20,0.4,2,7,0.286,9,10,0.9,1,4,5,11,1,1,3,1,27,23.7,-4
52,45,06/02/2016,25-206,POR,@,HOU,1,36:13:00,7,20,0.35,3,9,0.333,4,4,1,1,3,4,10,1,0,4,2,21,14.6,8
53,46,08/02/2016,25-208,POR,@,MEM,1,42:40:00,9,22,0.409,5,13,0.385,10,12,0.833,0,4,4,5,1,1,4,5,33,20.8,10
54,47,10/02/2016,25-210,POR,,HOU,1,35:17:00,9,22,0.409,4,11,0.364,9,11,0.818,1,2,3,9,3,0,4,3,31,23.8,28
55,48,19/02/2016,25-219,POR,,GSW,1,31:06:00,18,28,0.643,9,12,0.75,6,7,0.857,0,0,0,7,6,0,0,3,51,47.9,26
56,49,21/02/2016,25-221,POR,,UTA,1,37:21:00,10,21,0.476,4,12,0.333,6,9,0.667,1,3,4,5,0,0,3,2,30,19.4,6
