Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
56,45,21/02/2015,26-140,CHI,,PHO,1,25:15:00,5,12,0.417,1,3,0.333,5,5,1,0,4,4,5,1,0,1,4,16,12.7,8
57,46,23/02/2015,26-142,CHI,,MIL,1,32:55:00,1,13,0.077,1,7,0.143,5,6,0.833,3,2,5,8,0,1,3,3,8,3.7,3
58,,25/02/2015,26-144,CHI,,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,27/02/2015,26-146,CHI,,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,01/03/2015,26-148,CHI,,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
61,,03/03/2015,26-150,CHI,,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,05/03/2015,26-152,CHI,,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,06/03/2015,26-153,CHI,,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,08/03/2015,26-155,CHI,,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,,09/03/2015,26-156,CHI,,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,11/03/2015,26-158,CHI,,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,13/03/2015,26-160,CHI,,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,15/03/2015,26-162,CHI,,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,18/03/2015,26-165,CHI,,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,20/03/2015,26-167,CHI,,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,21/03/2015,26-168,CHI,,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,23/03/2015,26-170,CHI,,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,,25/03/2015,26-172,CHI,,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,,28/03/2015,26-175,CHI,,NYK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,,01/04/2015,26-179,CHI,,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,,03/04/2015,26-181,CHI,,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,05/04/2015,26-183,CHI,,CLE,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,47,08/04/2015,26-186,CHI,,ORL,1,19:24,3,9,0.333,1,6,0.167,2,2,1,0,2,2,2,1,0,4,1,9,2.5,-3
79,48,09/04/2015,26-187,CHI,,MIA,1,20:22,5,15,0.333,0,3,0,2,2,1,1,3,4,2,0,0,3,0,12,3.5,-2
80,49,11/04/2015,26-189,CHI,,PHI,1,28:29:00,8,19,0.421,1,5,0.2,5,7,0.714,0,6,6,8,3,0,0,0,22,21.5,25
81,50,13/04/2015,26-191,CHI,,BRK,1,23:04,5,13,0.385,2,4,0.5,1,2,0.5,0,3,3,7,1,0,2,1,13,9.9,8
82,51,15/04/2015,26-193,CHI,,ATL,1,10:18,1,3,0.333,0,2,0,0,0,,0,2,2,1,0,0,4,0,2,-2.4,-11
1,1,27/10/2015,27-023,CHI,,CLE,1,32:28:00,8,22,0.364,0,2,0,2,4,0.5,0,1,1,5,1,0,2,0,18,7.8,-1
2,2,28/10/2015,27-024,CHI,,BRK,1,29:26:00,5,11,0.455,0,1,0,5,5,1,0,2,2,3,1,0,2,2,15,10.2,18
3,3,30/10/2015,27-026,CHI,,DET,1,34:29:00,4,13,0.308,0,1,0,0,0,,0,2,2,6,0,0,5,3,8,-0.9,-14
4,4,01/11/2015,27-028,CHI,,ORL,1,32:19:00,2,8,0.25,0,1,0,2,2,1,0,7,7,8,0,0,3,1,6,5.5,6
5,5,03/11/2015,27-030,CHI,,CHO,1,23:52,2,8,0.25,0,3,0,0,0,,0,2,2,5,0,0,2,0,4,1.3,-16
6,6,05/11/2015,27-032,CHI,,OKC,1,37:29:00,12,25,0.48,0,1,0,5,6,0.833,1,4,5,6,0,0,2,1,29,19.6,4
7,7,07/11/2015,27-034,CHI,,MIN,1,38:07:00,3,13,0.231,1,4,0.25,4,5,0.8,0,3,3,5,1,0,5,1,11,2.7,-21
8,8,09/11/2015,27-036,CHI,,PHI,1,27:33:00,6,14,0.429,0,3,0,0,1,0,2,3,5,8,0,1,2,0,12,10.8,14
9,9,13/11/2015,27-040,CHI,,CHO,1,34:39:00,4,14,0.286,0,2,0,2,2,1,0,1,1,8,1,1,3,2,10,5.6,-2
10,10,16/11/2015,27-043,CHI,,IND,1,33:13:00,9,18,0.5,2,2,1,3,4,0.75,1,1,2,6,2,1,0,3,23,20.3,5
11,,18/11/2015,27-045,CHI,,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,20/11/2015,27-047,CHI,,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11,24/11/2015,27-051,CHI,,POR,1,34:31:00,7,20,0.35,1,3,0.333,2,2,1,0,4,4,6,0,0,2,3,17,8,11
14,12,27/11/2015,27-054,CHI,,IND,1,31:15:00,4,16,0.25,2,5,0.4,0,0,,1,5,6,5,1,1,3,1,10,4.4,-19
15,13,30/11/2015,27-057,CHI,,SAS,1,34:08:00,5,17,0.294,0,2,0,1,2,0.5,0,4,4,6,1,1,1,1,11,6.4,-5
16,14,02/12/2015,27-059,CHI,,DEN,1,37:00:00,3,17,0.176,0,2,0,6,8,0.75,0,2,2,9,0,0,2,2,12,4.6,9
17,15,05/12/2015,27-062,CHI,,CHO,1,34:14:00,8,17,0.471,3,6,0.5,0,1,0,0,7,7,5,0,0,2,2,19,12.7,-11
18,16,07/12/2015,27-064,CHI,,PHO,1,34:12:00,7,18,0.389,0,3,0,0,0,,1,5,6,4,3,1,5,3,14,6.7,2
19,17,09/12/2015,27-066,CHI,,BOS,1,36:30:00,5,11,0.455,1,3,0.333,1,4,0.25,0,2,2,6,0,1,3,0,12,7.6,-3
20,18,10/12/2015,27-067,CHI,,LAC,1,27:32:00,5,11,0.455,1,3,0.333,0,0,,0,3,3,2,1,0,3,0,11,5.6,-3
21,19,12/12/2015,27-069,CHI,,NOP,1,28:43:00,4,10,0.4,0,0,,1,2,0.5,0,3,3,3,1,0,1,0,9,6.2,0
22,20,14/12/2015,27-071,CHI,,PHI,1,26:26:00,2,3,0.667,0,0,,2,2,1,0,1,1,4,0,0,2,1,6,5.4,5
23,21,16/12/2015,27-073,CHI,,MEM,1,33:06:00,9,19,0.474,0,3,0,1,3,0.333,0,2,2,5,1,0,3,1,19,10.2,10
24,22,18/12/2015,27-075,CHI,,DET,1,54:13:00,14,34,0.412,1,3,0.333,5,5,1,0,4,4,8,1,0,4,5,34,17.6,5
25,23,19/12/2015,27-076,CHI,,NYK,1,21:02,3,10,0.3,0,2,0,0,1,0,2,0,2,1,0,0,2,0,6,-0.1,-2
26,24,21/12/2015,27-078,CHI,,BRK,1,32:31:00,3,11,0.273,1,3,0.333,1,2,0.5,1,3,4,5,2,0,3,1,8,4.8,-9
27,25,25/12/2015,27-082,CHI,,OKC,1,30:04:00,7,18,0.389,0,1,0,5,6,0.833,1,3,4,1,0,0,4,6,19,4.7,10
28,26,26/12/2015,27-083,CHI,,DAL,1,36:34:00,12,20,0.6,0,1,0,1,1,1,1,4,5,4,0,0,3,1,25,17.1,-5
29,27,28/12/2015,27-085,CHI,,TOR,1,28:48:00,7,16,0.438,3,5,0.6,3,4,0.75,0,1,1,4,0,1,1,1,20,13.6,0
30,,30/12/2015,27-087,CHI,,IND,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
31,,01/01/2016,27-089,CHI,,NYK,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
