Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
75,74,29/03/2017,22-113,MIL,@,BOS,1,33:20:00,8,17,0.471,2,4,0.5,4,7,0.571,4,5,9,3,3,3,2,1,22,21.2,-7
76,75,31/03/2017,22-115,MIL,,DET,1,44:44:00,7,16,0.438,0,1,0,14,21,0.667,2,12,14,9,1,2,4,3,28,25.3,9
77,76,02/04/2017,22-117,MIL,,DAL,1,39:32:00,10,18,0.556,0,3,0,11,12,0.917,1,14,15,9,4,2,5,2,31,32.8,-2
78,77,04/04/2017,22-119,MIL,@,OKC,1,24:26:00,3,10,0.3,0,1,0,5,8,0.625,4,6,10,4,0,3,4,2,11,8.7,-24
79,78,06/04/2017,22-121,MIL,@,IND,1,35:17:00,7,14,0.5,0,1,0,11,13,0.846,2,5,7,6,0,1,3,2,25,21.2,-17
80,79,08/04/2017,22-123,MIL,@,PHI,1,40:17:00,7,15,0.467,0,3,0,6,11,0.545,0,10,10,6,3,2,4,3,20,16.7,6
81,80,10/04/2017,22-125,MIL,,CHO,1,36:27:00,5,11,0.455,0,0,,0,0,,0,11,11,10,0,1,4,0,10,11.3,23
1,1,18/10/2017,22-316,MIL,@,BOS,1,36:56:00,13,22,0.591,0,1,0,11,13,0.846,1,12,13,3,3,0,5,4,37,28.8,7
2,2,20/10/2017,22-318,MIL,,CLE,1,38:32:00,15,22,0.682,0,1,0,4,6,0.667,2,6,8,8,3,1,2,2,34,33.5,-17
3,3,21/10/2017,22-319,MIL,,POR,1,39:20:00,17,23,0.739,1,4,0.25,9,13,0.692,2,6,8,4,2,2,2,3,44,39.3,3
4,4,23/10/2017,22-321,MIL,,CHO,1,39:18:00,13,21,0.619,0,0,,6,8,0.75,2,12,14,6,1,2,6,5,32,25.3,7
5,5,26/10/2017,22-324,MIL,,BOS,1,41:35:00,10,21,0.476,2,3,0.667,6,7,0.857,0,10,10,7,3,1,3,3,28,24.3,-8
6,6,29/10/2017,22-327,MIL,@,ATL,1,38:19:00,14,21,0.667,1,3,0.333,4,6,0.667,1,10,11,6,0,0,1,4,33,28.4,8
