Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
62,40,03/03/2018,20-127,LAL,@,SAS,1,34:46:00,6,12,0.5,6,10,0.6,0,0,,0,7,7,11,1,2,2,4,18,20.6,8
63,41,05/03/2018,20-129,LAL,,POR,1,32:59:00,3,9,0.333,3,7,0.429,1,3,0.333,1,1,2,2,2,0,1,3,10,6.3,-7
64,42,07/03/2018,20-131,LAL,,ORL,1,37:11:00,6,16,0.375,4,13,0.308,0,0,,1,5,6,5,2,2,3,3,16,12.1,-10
65,43,09/03/2018,20-133,LAL,@,DEN,1,37:41:00,7,16,0.438,1,8,0.125,0,0,,3,5,8,8,4,1,4,2,15,15.7,-14
66,44,11/03/2018,20-135,LAL,,CLE,1,31:31:00,2,11,0.182,1,6,0.167,0,0,,0,3,3,7,1,0,0,2,5,4.1,-1
67,45,13/03/2018,20-137,LAL,,DEN,1,40:50:00,2,11,0.182,1,7,0.143,0,2,0,0,9,9,8,3,2,4,1,5,5.6,18
68,46,14/03/2018,20-138,LAL,@,GSW,1,38:49:00,3,11,0.273,1,8,0.125,1,3,0.333,2,4,6,11,3,1,3,4,8,10.1,-10
69,47,16/03/2018,20-140,LAL,,MIA,1,38:07:00,4,15,0.267,1,3,0.333,0,0,,3,5,8,8,2,1,3,0,9,9,1
70,48,19/03/2018,20-143,LAL,@,IND,1,37:22:00,1,4,0.25,1,4,0.25,1,2,0.5,0,2,2,8,2,0,4,1,4,5,-3
71,49,22/03/2018,20-146,LAL,@,NOP,1,44:09:00,2,15,0.133,1,12,0.083,1,2,0.5,1,11,12,9,1,2,3,4,6,4,-2
72,50,24/03/2018,20-148,LAL,@,MEM,1,42:12:00,5,13,0.385,1,6,0.167,1,4,0.25,3,5,8,10,1,0,2,3,12,12.1,1
73,51,26/03/2018,20-150,LAL,@,DET,1,43:00:00,7,8,0.875,1,1,1,0,0,,1,7,8,11,2,0,2,4,15,21.1,-4
74,52,28/03/2018,20-152,LAL,,DAL,1,24:05:00,3,7,0.429,1,3,0.333,1,2,0.5,3,1,4,5,0,0,1,1,8,8.4,-11
75,,30/03/2018,20-154,LAL,,MIL,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
76,,01/04/2018,20-156,LAL,,SAC,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
77,,03/04/2018,20-158,LAL,@,UTA,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
78,,04/04/2018,20-159,LAL,,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,,06/04/2018,20-161,LAL,,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,08/04/2018,20-163,LAL,,UTA,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
81,,10/04/2018,20-165,LAL,,HOU,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,11/04/2018,20-166,LAL,@,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1,18/10/2018,20-356,LAL,@,POR,0,19:28,2,7,0.286,1,4,0.25,2,2,1,2,2,4,1,1,0,1,3,7,4.4,-15
2,2,20/10/2018,20-358,LAL,,HOU,0,26:16:00,5,10,0.5,4,8,0.5,0,0,,1,5,6,4,0,0,0,2,14,13.2,-11
3,3,22/10/2018,20-360,LAL,,SAS,1,32:50:00,5,9,0.556,3,7,0.429,1,2,0.5,0,6,6,6,1,0,1,1,14,14.9,-14
4,4,24/10/2018,20-362,LAL,@,PHO,1,28:16:00,5,9,0.556,1,3,0.333,1,1,1,1,6,7,6,2,0,2,2,12,13.6,4
5,5,25/10/2018,20-363,LAL,,DEN,1,33:15:00,5,10,0.5,2,5,0.4,0,0,,0,6,6,8,5,0,3,2,12,15.6,10
6,6,27/10/2018,21-000,LAL,@,SAS,1,26:55:00,2,8,0.25,2,5,0.4,0,2,0,0,2,2,3,0,0,3,3,6,-1.1,-7
7,7,29/10/2018,21-002,LAL,@,MIN,1,23:36,2,6,0.333,0,4,0,0,0,,0,1,1,1,0,0,1,1,4,0.2,-11
8,8,31/10/2018,21-004,LAL,,DAL,1,33:18:00,4,6,0.667,3,3,1,1,2,0.5,2,2,4,7,0,0,0,1,12,15.5,15
9,9,03/11/2018,21-007,LAL,@,POR,1,18:50,1,6,0.167,1,4,0.25,0,0,,1,2,3,3,0,0,2,1,3,0.2,-16
10,10,04/11/2018,21-008,LAL,,TOR,1,23:09,5,7,0.714,2,3,0.667,0,0,,1,8,9,4,2,0,2,3,12,13.8,-1
11,11,07/11/2018,21-011,LAL,,MIN,1,21:02,1,6,0.167,0,3,0,1,2,0.5,1,4,5,6,3,0,3,2,3,4.1,-8
12,12,10/11/2018,21-014,LAL,@,SAC,1,19:36,2,10,0.2,0,6,0,0,0,,1,2,3,4,1,0,0,2,4,2.1,-2
13,13,11/11/2018,21-015,LAL,,ATL,1,27:05:00,2,5,0.4,2,3,0.667,2,2,1,0,6,6,11,1,1,3,2,8,12.7,14
14,14,14/11/2018,21-018,LAL,,POR,1,32:06:00,4,11,0.364,3,5,0.6,0,0,,5,1,6,3,1,0,2,4,11,8.2,7
15,15,17/11/2018,21-021,LAL,@,ORL,1,28:13:00,0,5,0,0,3,0,0,0,,0,5,5,4,2,1,3,4,0,-1.1,-9
16,16,18/11/2018,21-022,LAL,@,MIA,1,21:45,1,6,0.167,0,4,0,0,0,,1,5,6,7,0,0,1,0,2,4.3,-3
17,17,21/11/2018,21-025,LAL,@,CLE,1,36:20:00,7,11,0.636,1,2,0.5,0,1,0,1,6,7,6,1,0,3,3,15,13.2,16
18,18,23/11/2018,21-027,LAL,,UTA,1,33:29:00,4,10,0.4,1,2,0.5,0,0,,0,10,10,2,0,1,4,4,9,3.1,13
19,19,25/11/2018,21-029,LAL,,ORL,1,28:34:00,4,9,0.444,1,2,0.5,0,0,,0,10,10,2,0,1,1,1,9,8,-12
20,20,27/11/2018,21-031,LAL,@,DEN,1,18:08,3,6,0.5,1,4,0.25,0,0,,1,4,5,2,0,0,0,1,7,6.9,-10
21,21,29/11/2018,21-033,LAL,,IND,1,33:40:00,1,6,0.167,0,3,0,0,0,,4,4,8,4,0,2,4,4,2,0.8,9
22,22,30/11/2018,21-034,LAL,,DAL,1,28:18:00,4,9,0.444,1,5,0.2,1,2,0.5,1,0,1,4,5,0,5,6,10,6,-6
23,23,02/12/2018,21-036,LAL,,PHO,1,30:34:00,3,10,0.3,0,2,0,1,2,0.5,0,4,4,4,4,0,3,2,7,5,12
24,24,05/12/2018,21-039,LAL,,SAS,1,39:38:00,5,12,0.417,3,6,0.5,1,2,0.5,2,2,4,9,2,0,1,1,14,16.1,18
25,25,07/12/2018,21-041,LAL,@,SAS,1,37:53:00,5,16,0.313,2,6,0.333,1,1,1,1,3,4,11,1,0,2,3,13,10.9,-6
26,26,08/12/2018,21-042,LAL,@,MEM,1,22:56,2,9,0.222,0,5,0,0,0,,0,0,0,2,2,0,3,3,4,-2.3,-3
27,27,10/12/2018,21-044,LAL,,MIA,1,37:06:00,4,11,0.364,1,3,0.333,1,2,0.5,4,3,7,4,3,2,1,1,10,13,18
28,28,13/12/2018,21-047,LAL,@,HOU,1,34:56:00,3,9,0.333,0,6,0,1,2,0.5,0,3,3,8,1,0,3,3,7,4.8,-21
29,29,15/12/2018,21-049,LAL,@,CHO,1,34:52:00,7,11,0.636,2,4,0.5,0,0,,3,7,10,10,5,1,2,1,16,25.6,34
30,30,16/12/2018,21-050,LAL,@,WAS,1,34:27:00,4,11,0.364,2,7,0.286,0,0,,0,5,5,4,3,2,4,1,10,8.2,-24
31,31,18/12/2018,21-052,LAL,@,BRK,1,39:25:00,9,16,0.563,5,9,0.556,0,2,0,2,4,6,3,2,0,3,6,23,15.9,-8
32,32,21/12/2018,21-055,LAL,,NOP,1,26:09:00,5,10,0.5,2,6,0.333,0,0,,1,4,5,2,0,0,2,2,12,7.5,18
