Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
22,20,10/12/2016,26-095,WAS,,MIL,1,38:43:00,8,20,0.4,1,4,0.25,7,8,0.875,0,4,4,11,2,1,4,3,24,19.2,0
23,21,12/12/2016,26-097,WAS,@,MIA,1,37:57:00,12,26,0.462,1,5,0.2,5,6,0.833,2,4,6,8,1,1,5,1,30,20.7,-14
24,22,14/12/2016,26-099,WAS,,CHO,1,36:12:00,9,19,0.474,0,2,0,7,8,0.875,2,4,6,10,6,0,8,2,25,21.7,4
25,23,16/12/2016,26-101,WAS,,DET,1,34:54:00,8,14,0.571,4,4,1,9,12,0.75,0,2,2,11,3,0,0,2,29,31.7,15
26,24,18/12/2016,26-103,WAS,,LAC,1,36:24:00,7,16,0.438,0,2,0,4,8,0.5,2,3,5,11,1,1,5,2,18,13.9,7
27,25,19/12/2016,26-104,WAS,@,IND,1,37:51:00,6,14,0.429,0,5,0,7,8,0.875,1,3,4,10,2,0,4,3,19,16.6,-2
28,26,21/12/2016,26-106,WAS,@,CHI,1,35:53:00,9,14,0.643,0,2,0,5,7,0.714,0,6,6,9,3,0,2,2,23,24.3,2
29,27,23/12/2016,26-108,WAS,@,MIL,1,31:54:00,8,18,0.444,0,3,0,2,2,1,0,3,3,10,1,0,2,0,18,15.5,-14
30,28,26/12/2016,26-111,WAS,,MIL,1,42:02:00,8,19,0.421,1,4,0.25,1,2,0.5,2,1,3,16,2,1,7,2,18,15.3,10
31,29,28/12/2016,26-113,WAS,,IND,1,38:45:00,11,19,0.579,2,3,0.667,12,13,0.923,2,9,11,9,2,0,5,4,36,32.5,5
32,30,30/12/2016,26-115,WAS,,BRK,1,31:53:00,7,14,0.5,1,4,0.25,4,4,1,0,2,2,14,4,1,6,1,19,20.7,12
33,31,02/01/2017,26-118,WAS,@,HOU,1,37:00:00,8,18,0.444,0,2,0,2,3,0.667,1,4,5,12,2,0,5,2,18,14.7,-13
34,32,03/01/2017,26-119,WAS,@,DAL,1,39:21:00,10,19,0.526,1,3,0.333,6,6,1,0,4,4,8,3,1,4,0,27,24.2,5
35,33,06/01/2017,26-122,WAS,,MIN,1,40:03:00,8,16,0.5,0,1,0,2,2,1,0,1,1,18,2,0,3,2,18,21.1,16
36,34,08/01/2017,26-124,WAS,@,MIL,1,36:48:00,7,15,0.467,0,3,0,2,2,1,0,3,3,7,1,0,5,1,16,9.7,11
37,35,10/01/2017,26-126,WAS,,CHI,1,40:10:00,11,21,0.524,1,2,0.5,3,4,0.75,0,6,6,14,1,1,5,2,26,22.8,24
38,36,11/01/2017,26-127,WAS,@,BOS,1,38:43:00,4,21,0.19,0,5,0,1,2,0.5,3,4,7,11,3,1,1,2,9,8.4,-2
39,37,14/01/2017,26-130,WAS,,PHI,1,30:02:00,9,17,0.529,3,4,0.75,4,5,0.8,2,5,7,7,2,0,3,1,25,22.7,16
40,38,16/01/2017,26-132,WAS,,POR,1,27:59:00,10,17,0.588,2,3,0.667,2,2,1,1,3,4,7,2,0,4,0,24,20.6,16
41,39,18/01/2017,26-134,WAS,,MEM,1,36:59:00,7,18,0.389,1,5,0.2,10,10,1,1,1,2,13,2,1,4,2,25,23.2,0
42,40,19/01/2017,26-135,WAS,@,NYK,1,37:12:00,11,21,0.524,1,3,0.333,6,8,0.75,0,5,5,13,3,0,2,2,29,28.7,11
43,41,21/01/2017,26-137,WAS,@,DET,1,38:39:00,6,15,0.4,0,2,0,7,9,0.778,2,5,7,10,2,0,4,3,19,16.8,-6
44,42,23/01/2017,26-139,WAS,@,CHO,1,37:58:00,9,20,0.45,0,1,0,6,7,0.857,0,4,4,7,1,0,5,2,24,14.5,6
45,43,24/01/2017,26-140,WAS,,BOS,1,37:43:00,11,20,0.55,1,2,0.5,4,5,0.8,0,7,7,7,3,1,4,2,27,22.9,17
46,44,27/01/2017,26-143,WAS,@,ATL,1,30:24:00,7,17,0.412,1,2,0.5,4,6,0.667,1,5,6,9,0,0,4,0,19,13.6,23
47,45,29/01/2017,26-145,WAS,@,NOP,1,37:05:00,8,19,0.421,0,3,0,2,4,0.5,0,1,1,19,2,1,3,2,18,19.6,7
48,46,31/01/2017,26-147,WAS,,NYK,1,33:57:00,6,18,0.333,1,2,0.5,2,3,0.667,2,2,4,13,0,0,2,2,15,12.7,22
49,47,02/02/2017,26-149,WAS,,LAL,1,40:35:00,11,23,0.478,3,7,0.429,8,10,0.8,1,2,3,11,2,1,3,2,33,28.4,8
50,48,04/02/2017,26-151,WAS,,NOP,1,37:47:00,8,19,0.421,2,7,0.286,6,8,0.75,1,2,3,13,5,1,4,1,24,24.8,7
51,49,06/02/2017,26-153,WAS,,CLE,1,44:28:00,8,19,0.421,0,3,0,6,6,1,0,4,4,12,1,0,6,2,22,15.7,-5
52,50,08/02/2017,26-155,WAS,@,BRK,1,45:56:00,7,24,0.292,1,4,0.25,8,10,0.8,1,5,6,12,1,2,3,2,23,17.4,7
53,51,10/02/2017,26-157,WAS,,IND,1,36:37:00,7,16,0.438,2,5,0.4,10,15,0.667,0,3,3,14,2,0,7,4,26,19.7,21
54,52,13/02/2017,26-160,WAS,,OKC,1,30:22:00,4,10,0.4,1,2,0.5,6,7,0.857,0,5,5,14,1,2,5,1,15,17.5,31
55,53,16/02/2017,26-163,WAS,@,IND,1,37:13:00,8,20,0.4,0,2,0,4,4,1,0,2,2,12,1,2,5,2,20,14.8,18
56,54,24/02/2017,26-171,WAS,@,PHI,1,40:54:00,8,21,0.381,0,3,0,13,14,0.929,2,6,8,14,0,2,6,2,29,24.7,-5
57,55,26/02/2017,26-173,WAS,,UTA,1,36:40:00,9,18,0.5,2,4,0.5,3,5,0.6,0,3,3,11,4,0,9,2,23,16,-7
58,56,28/02/2017,26-175,WAS,,GSW,1,39:32:00,6,20,0.3,0,1,0,0,0,,2,4,6,19,3,0,5,0,12,14.3,1
59,57,01/03/2017,26-176,WAS,@,TOR,1,34:28:00,4,12,0.333,0,2,0,4,4,1,1,3,4,13,0,1,3,1,12,13.2,0
60,58,03/03/2017,26-178,WAS,,TOR,1,38:13:00,9,24,0.375,4,8,0.5,8,10,0.8,2,6,8,7,1,3,1,3,30,25,6
61,59,05/03/2017,26-180,WAS,,ORL,1,37:18:00,6,17,0.353,1,3,0.333,6,7,0.857,0,6,6,10,0,1,4,1,19,14.2,-1
62,60,07/03/2017,26-182,WAS,@,PHO,1,37:19:00,9,20,0.45,0,3,0,7,12,0.583,1,3,4,14,3,2,3,1,25,25,9
63,61,08/03/2017,26-183,WAS,@,DEN,1,35:09:00,12,19,0.632,2,6,0.333,4,5,0.8,1,2,3,10,1,0,4,1,30,26,7
64,62,10/03/2017,26-185,WAS,@,SAC,1,40:39:00,11,25,0.44,1,4,0.25,2,2,1,0,4,4,12,2,0,2,0,25,21.5,15
65,63,11/03/2017,26-186,WAS,@,POR,1,40:21:00,13,23,0.565,3,5,0.6,10,12,0.833,0,2,2,9,0,1,5,0,39,29.9,8
66,64,13/03/2017,26-188,WAS,@,MIN,1,38:04:00,6,16,0.375,1,3,0.333,14,19,0.737,0,2,2,5,1,0,4,5,27,15.3,-20
67,65,15/03/2017,26-190,WAS,,DAL,1,36:27:00,10,20,0.5,2,5,0.4,4,6,0.667,0,1,1,11,3,0,3,1,26,22.8,5
68,66,17/03/2017,26-192,WAS,,CHI,1,33:39:00,4,13,0.308,1,3,0.333,5,6,0.833,0,0,0,20,1,1,2,2,14,19,12
69,67,18/03/2017,26-193,WAS,@,CHO,1,35:00:00,5,16,0.313,1,4,0.25,8,11,0.727,1,3,4,8,1,2,3,1,19,14.8,-10
70,68,20/03/2017,26-195,WAS,@,BOS,1,33:54:00,4,10,0.4,0,3,0,8,9,0.889,0,4,4,8,3,0,5,1,16,14.6,-21
71,69,22/03/2017,26-197,WAS,,ATL,1,34:14:00,6,21,0.286,1,6,0.167,9,12,0.75,0,2,2,10,4,2,4,3,22,16.3,-5
72,70,24/03/2017,26-199,WAS,,BRK,1,23:58,9,16,0.563,0,2,0,4,4,1,1,3,4,9,1,0,3,2,22,19.5,-2
73,71,25/03/2017,26-200,WAS,@,CLE,1,37:11:00,14,21,0.667,2,2,1,7,8,0.875,1,3,4,11,2,1,3,2,37,35.7,12
74,72,28/03/2017,26-203,WAS,@,LAL,1,36:42:00,14,25,0.56,1,4,0.25,5,5,1,0,3,3,14,4,0,3,3,34,32.6,11
75,73,29/03/2017,26-204,WAS,@,LAC,1,38:49:00,16,23,0.696,1,3,0.333,8,11,0.727,2,5,7,8,3,0,6,5,41,33.6,-9
76,74,31/03/2017,26-206,WAS,@,UTA,1,37:55:00,6,22,0.273,1,3,0.333,3,4,0.75,1,3,4,5,1,0,2,1,16,6.3,-19
77,75,02/04/2017,26-208,WAS,@,GSW,1,26:43:00,4,11,0.364,0,1,0,7,8,0.875,0,4,4,11,1,0,3,0,15,15.4,-14
78,76,04/04/2017,26-210,WAS,,CHO,1,35:25:00,8,16,0.5,3,4,0.75,4,5,0.8,0,1,1,13,6,0,5,3,23,23.8,-6
79,77,06/04/2017,26-212,WAS,@,NYK,1,31:35:00,9,15,0.6,4,5,0.8,2,6,0.333,0,1,1,8,1,1,2,3,24,19.9,6
80,78,08/04/2017,26-214,WAS,,MIA,1,35:52:00,5,18,0.278,1,3,0.333,5,7,0.714,0,6,6,8,2,2,8,2,16,6.6,-7
81,,10/04/2017,26-216,WAS,@,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
